Distancia_km,HAAT_30m,HAAT_150m,HAAT_300m,HAAT_600m,HAAT_1200m,HAAT_1600m,HAAT_2000m,HAAT_2500m,HAAT_3000m
1,95,108,114,120,126,128,131,133,135
5,75,92,98,104,110,113,116,118,120
10,62,82,89,96,103,106,109,112,114
20,48,70,78,86,94,97,100,103,105
30,39,61,69,78,86,89,92,95,98
40,32,54,63,72,81,84,87,90,93
50,26,48,57,66,76,79,82,85,88
60,22,42,52,62,72,75,78,81,84
80,15,33,43,53,64,67,70,74,77
100,10,26,36,47,58,62,66,69,72
120,6,20,31,42,53,57,61,65,68
140,2,16,26,37,48,52,56,60,63
160,-1,12,22,33,44,48,52,56,59
180,-5,8,18,29,40,44,48,52,55
200,-9,5,15,25,36,41,45,49,52
